seconds,t_motor,t_ambient
2451.05,35.38,22.25
2455.15,35.38,22.312
2459.24,35.38,22.25
2463.34,35.44,22.312
2467.43,35.38,22.312
2471.53,35.44,22.312
2475.63,35.44,22.312
2479.72,35.44,22.312
2483.82,35.44,22.312
2487.91,35.44,22.312
2492.01,35.44,22.25
2496.11,35.44,22.312
2500.2,35.44,22.312
2504.3,35.44,22.25
2508.39,35.44,22.25
2512.49,35.44,22.25
2516.59,35.44,22.25
2520.68,35.44,22.312
2524.78,35.5,22.312
2528.87,35.5,22.312
2532.97,35.5,22.25
2537.07,35.5,22.312
2541.16,35.5,22.25
2545.26,35.5,22.25
2549.35,35.5,22.312
2553.45,35.5,22.312
2557.55,35.5,22.25
2561.64,35.5,22.25
2565.74,35.5,22.312
2569.83,35.5,22.312
2573.93,35.5,22.312
2578.03,35.5,22.312
2582.12,35.5,22.312
2586.22,35.5,22.312
2590.31,35.5,22.25
2594.41,35.5,22.312
2598.51,35.5,22.25
2602.6,35.5,22.25
2606.7,35.5,22.25
2610.79,35.5,22.312
2614.89,35.5,22.25
2618.99,35.56,22.25
2623.08,35.5,22.25
2627.18,35.56,22.25
2631.27,35.56,22.312
2635.37,35.56,22.312
2639.47,35.56,22.25
2643.56,35.56,22.312
2647.66,35.56,22.25
2651.75,35.56,22.25
2655.85,35.56,22.312
2659.95,35.56,22.25
2664.04,35.56,22.25
2668.14,35.56,22.25
2672.23,35.56,22.25
2676.33,35.56,22.25
2680.43,35.62,22.25
2684.52,35.56,22.25
2688.62,35.62,22.25
2692.71,35.62,22.25
2696.81,35.62,22.25
2700.91,35.62,22.25
2705.0,35.62,22.25
2709.1,35.62,22.25
2713.19,35.62,22.25
2717.29,35.62,22.25
2721.39,35.62,22.25
2725.48,35.62,22.25
2729.58,35.62,22.25
2733.67,35.62,22.25
2737.77,35.62,22.25
2741.87,35.62,22.312
2745.96,35.62,22.25
2750.06,35.62,22.25
2754.15,35.62,22.25
2758.25,35.69,22.25
2762.35,35.69,22.25
2766.44,35.69,22.25
2770.54,35.69,22.25
2774.63,35.69,22.25
2778.73,35.69,22.25
2782.83,35.69,22.25
2786.92,35.69,22.25
2791.02,35.69,22.25
2795.11,35.69,22.25
2799.21,35.69,22.25
2803.31,35.69,22.25
2807.43,35.69,22.25
2811.53,35.75,22.25
2815.63,35.69,22.25
2819.72,35.75,22.25
2823.82,35.75,22.25
2827.91,35.69,22.25
2832.01,35.69,22.25
2836.11,35.75,22.25
2840.2,35.75,22.25
2844.3,35.75,22.25
2848.39,35.75,22.25
2852.49,35.75,22.25
2856.59,35.75,22.25
2860.68,35.75,22.25
2864.78,35.75,22.25
2868.87,35.75,22.25
2872.97,35.75,22.25
2877.07,35.75,22.25
2881.16,35.75,22.25
2885.26,35.75,22.25
2889.35,35.75,22.25
2893.45,35.75,22.25
2897.55,35.75,22.25
2901.64,35.75,22.25
2905.74,35.75,22.25
2909.83,35.75,22.25
2913.93,35.75,22.25
2918.03,35.75,22.25
2922.12,35.75,22.25
2926.22,35.75,22.25
2930.31,35.81,22.25
2934.41,35.81,22.25
2938.51,35.75,22.25
2942.6,35.81,22.25
2946.7,35.81,22.25
2950.79,35.81,22.25
2954.89,35.81,22.25
2958.99,35.75,22.25
2963.08,35.81,22.25
2967.18,35.81,22.25
2971.27,35.81,22.25
2975.37,35.81,22.25
2979.47,35.81,22.25
2983.56,35.81,22.25
2987.66,35.81,22.312
2991.75,35.81,22.25
2995.85,35.81,22.25
2999.95,35.81,22.25
3004.04,35.81,22.25
3008.14,35.81,22.25
