seconds,t_motor,t_ambient
1893.98,25.88,23.06
1898.08,25.88,23.06
1902.17,25.94,23.06
1906.27,25.81,23.06
1910.37,25.88,23.06
1914.46,25.88,23.06
1918.56,25.88,23.06
1922.65,25.88,23.06
1926.75,25.88,23.0
1930.85,25.88,23.06
1934.94,25.88,23.0
1939.04,25.88,23.0
1943.13,25.88,23.0
1947.23,25.88,23.0
1951.33,25.88,23.0
1955.42,25.88,23.06
1959.52,25.88,23.0
1963.61,25.88,23.06
1967.71,25.88,23.0
1971.81,25.88,23.0
1975.9,25.88,23.0
1980.0,25.88,23.0
1984.09,25.88,23.0
1988.19,25.88,23.0
1992.29,25.88,23.0
1996.38,25.88,23.0
2000.48,25.88,23.0
2004.57,25.88,23.0
2008.67,25.88,23.0
2012.77,25.81,23.0
2016.86,25.81,23.0
2020.96,25.81,23.0
2025.05,25.88,23.0
2029.15,25.81,23.0
2033.25,25.81,23.0
2037.34,25.81,23.0
2041.44,25.88,23.0
2045.53,25.81,23.0
2049.63,25.81,23.0
2053.73,25.81,23.0
2057.82,25.88,22.94
2061.92,25.81,23.0
2066.01,25.81,23.0
2070.11,25.88,23.0
2074.21,25.81,23.0
2078.3,25.88,23.0
2082.4,25.81,23.0
2086.49,25.88,23.0
2090.59,25.81,23.0
2094.69,25.88,23.0
2098.78,25.88,23.0
2102.88,25.88,23.0
2106.97,25.88,23.0
2111.07,25.81,23.0
2115.17,25.81,23.0
2119.26,25.81,22.94
2123.36,25.88,23.0
2127.45,25.81,23.0
2131.55,25.81,23.0
2135.65,25.88,23.0
2139.74,25.81,23.0
2143.84,25.81,22.94
2147.93,25.81,22.94
2152.03,25.88,22.94
2156.13,25.81,23.0
2160.22,25.81,22.94
2164.32,25.81,23.0
2168.41,25.81,23.0
2172.51,25.81,23.0
2176.61,25.81,23.0
2180.7,25.81,23.0
2184.8,25.81,23.0
2188.89,25.81,23.0
2192.99,25.81,23.0
2197.09,25.81,23.0
2201.18,25.81,23.0
2205.28,25.81,23.0
2209.37,25.81,23.0
2213.47,25.81,22.94
2217.57,25.81,23.0
2221.66,25.81,23.0
2225.76,25.81,23.0
2229.85,25.81,23.0
2233.95,25.81,23.0
2238.05,25.81,23.0
2242.14,25.81,22.94
2246.24,25.81,22.94
2250.33,25.81,22.94
2254.43,25.81,22.94
2258.53,25.81,22.94
2262.62,25.81,22.94
2266.72,25.81,22.94
2270.81,25.81,22.94
2274.91,25.81,22.94
2279.01,25.81,22.94
2283.1,25.81,22.94
2287.2,25.81,22.94
2291.29,25.81,22.94
2295.39,25.81,22.94
2299.49,25.81,22.94
2303.58,25.81,22.94
2307.68,25.81,22.88
2311.77,25.81,22.94
2315.87,25.81,22.88
2319.97,25.81,22.94
2324.06,25.75,22.94
2328.16,25.81,22.88
2332.25,25.81,22.94
2336.35,25.75,22.94
2340.45,25.81,22.94
2344.54,25.81,22.94
2348.64,25.81,22.94
2352.73,25.75,22.94
2356.83,25.81,22.94
2360.93,25.81,22.94
2365.02,25.81,22.94
2369.12,25.81,22.94
2373.21,25.75,22.94
2377.31,25.81,22.94
2381.41,25.81,22.94
2385.5,25.81,22.88
2389.6,25.81,22.88
2393.69,25.81,22.94
2397.79,25.75,22.94
2401.89,25.81,22.94
2405.98,25.81,22.88
2410.08,25.81,22.94
2414.17,25.81,22.88
2418.27,25.81,22.88
2422.37,25.75,22.94
2426.46,25.81,22.88
2430.56,25.75,22.88
2434.65,25.75,22.88
2438.75,25.75,22.88
2442.85,25.81,22.88
2446.94,25.75,22.88
2451.04,25.75,22.94
2455.13,25.75,22.88
2459.23,25.81,22.88
2463.33,25.81,22.88
2467.42,25.75,22.88
2471.52,25.81,22.88
2475.61,25.81,22.88
2479.71,25.81,22.88
2483.81,25.81,22.88
2487.9,25.81,22.88
2492.0,25.81,22.88
2496.09,25.81,22.88
2500.19,25.81,22.88
2504.29,25.81,22.88
2508.38,25.81,22.81
2512.48,25.81,22.81
2516.57,25.75,22.88
2520.67,25.81,22.81
2524.77,25.81,22.81
2528.86,25.81,22.81
2532.96,25.81,22.88
2537.05,25.81,22.81
2541.15,25.81,22.81
2545.25,25.81,22.81
2549.34,25.81,22.88
2553.44,25.81,22.88
2557.53,25.75,22.81
2561.63,25.75,22.81
2565.73,25.81,22.81
2569.82,25.75,22.88
2573.92,25.81,22.81
2578.01,25.81,22.88
2582.11,25.81,22.88
2586.21,25.81,22.81
2590.3,25.75,22.81
2594.4,25.81,22.81
2598.49,25.81,22.88
2602.59,25.75,22.81
2606.69,25.81,22.81
2610.78,25.81,22.88
2614.88,25.75,22.81
2618.97,25.81,22.81
2623.07,25.81,22.88
2627.17,25.75,22.88
2631.26,25.81,22.81
2635.36,25.75,22.81
2639.45,25.75,22.81
2643.55,25.75,22.81
2647.65,25.81,22.81
2651.74,25.81,22.81
2655.84,25.81,22.81
2659.93,25.75,22.81
2664.03,25.75,22.81
2668.13,25.75,22.81
2672.22,25.75,22.81
2676.32,25.75,22.81
2680.41,25.75,22.81
2684.51,25.75,22.81
2688.61,25.75,22.81
2692.7,25.81,22.81
2696.8,25.75,22.81
2700.89,25.75,22.81
2704.99,25.75,22.81
2709.09,25.75,22.81
2713.18,25.75,22.81
2717.28,25.75,22.81
2721.37,25.75,22.75
2725.47,25.75,22.81
